FPR;Precision
1;0.001
1;0.001
0.999;0.001
0.997;0.001
0.995;0.001
0.993;0.001
0.99;0.001
0.987;0.001
0.984;0.001
0.981;0.001
0.978;0.001
0.976;0.001
0.973;0.001
0.971;0.001
0.968;0.001
0.964;0.001
0.961;0.001
0.958;0.001
0.955;0.001
0.952;0.001
0.949;0.001
0.945;0.001
0.942;0.001
0.94;0.001
0.936;0.001
0.933;0.001
0.931;0.001
0.927;0.001
0.924;0.001
0.921;0.001
0.919;0.001
0.916;0.001
0.913;0.001
0.911;0.001
0.908;0.001
0.905;0.001
0.902;0.001
0.899;0.001
0.897;0.001
0.894;0.001
0.892;0.001
0.889;0.001
0.886;0.001
0.883;0.001
0.881;0.001
0.878;0.001
0.876;0.002
0.873;0.002
0.871;0.002
0.868;0.002
0.866;0.002
0.864;0.002
0.862;0.002
0.86;0.002
0.857;0.002
0.855;0.002
0.853;0.002
0.851;0.002
0.849;0.002
0.847;0.002
0.845;0.002
0.842;0.002
0.841;0.002
0.838;0.002
0.836;0.002
0.834;0.002
0.832;0.002
0.829;0.002
0.827;0.002
0.825;0.002
0.823;0.002
0.821;0.002
0.819;0.002
0.817;0.002
0.815;0.002
0.814;0.002
0.812;0.002
0.81;0.002
0.808;0.002
0.807;0.002
0.805;0.002
0.803;0.002
0.802;0.002
0.8;0.002
0.798;0.002
0.797;0.002
0.795;0.002
0.793;0.002
0.792;0.002
0.791;0.002
0.789;0.002
0.787;0.002
0.785;0.002
0.784;0.002
0.782;0.002
0.781;0.002
0.78;0.002
0.778;0.002
0.777;0.002
0.775;0.002
0.774;0.002
0.772;0.002
0.77;0.002
0.769;0.002
0.767;0.002
0.766;0.002
0.765;0.002
0.764;0.002
0.762;0.002
0.761;0.002
0.759;0.002
0.758;0.002
0.757;0.002
0.755;0.002
0.754;0.002
0.752;0.002
0.751;0.002
0.75;0.002
0.748;0.002
0.747;0.002
0.746;0.002
0.744;0.002
0.743;0.002
0.742;0.002
0.741;0.002
0.74;0.002
0.739;0.002
0.737;0.002
0.736;0.002
0.735;0.002
0.734;0.002
0.732;0.002
0.731;0.002
0.73;0.002
0.729;0.002
0.727;0.002
0.726;0.002
0.725;0.002
0.724;0.002
0.723;0.002
0.722;0.002
0.721;0.002
0.72;0.002
0.719;0.002
0.717;0.002
0.716;0.002
0.715;0.002
0.714;0.002
0.713;0.002
0.712;0.002
0.711;0.002
0.709;0.002
0.708;0.002
0.707;0.002
0.706;0.002
0.705;0.002
0.704;0.002
0.703;0.002
0.702;0.002
0.701;0.002
0.7;0.002
0.699;0.002
0.698;0.002
0.698;0.002
0.697;0.002
0.696;0.002
0.695;0.002
0.694;0.002
0.693;0.002
0.692;0.002
0.691;0.002
0.69;0.002
0.689;0.002
0.688;0.002
0.687;0.002
0.686;0.002
0.685;0.002
0.684;0.002
0.683;0.002
0.682;0.002
0.681;0.002
0.681;0.002
0.68;0.002
0.679;0.002
0.678;0.002
0.676;0.002
0.676;0.002
0.675;0.002
0.674;0.002
0.673;0.002
0.672;0.002
0.672;0.002
0.671;0.002
0.67;0.002
0.669;0.002
0.668;0.002
0.667;0.002
0.666;0.002
0.665;0.002
0.665;0.002
0.664;0.002
0.663;0.002
0.662;0.002
0.661;0.002
0.66;0.002
0.659;0.002
0.658;0.002
0.657;0.002
0.656;0.002
0.655;0.002
0.655;0.002
0.654;0.002
0.653;0.002
0.652;0.002
0.651;0.002
0.651;0.002
0.65;0.002
0.649;0.002
0.648;0.002
0.647;0.002
0.647;0.002
0.646;0.002
0.645;0.002
0.644;0.002
